uuid,timestamp,timezone,latitude,longitude
098c3218-631e-39c3-9646-2591c09c4634,2023/12/30 22:08:39,America/Los_Angeles,37.32011,-121.87702
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:21,America/Los_Angeles,37.33424,-121.87216
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:24,America/Los_Angeles,37.33427,-121.8721
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:25,America/Los_Angeles,37.33427,-121.87213
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:26,America/Los_Angeles,37.33423,-121.87218
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:26,America/Los_Angeles,37.33426,-121.87212
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/10/24 10:43:27,America/Los_Angeles,37.33421,-121.87218
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/09 9:43:19,America/Los_Angeles,37.33428,-121.87208
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/16 9:43:13,America/Los_Angeles,37.33423,-121.872
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/16 9:43:19,America/Los_Angeles,37.33428,-121.87208
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/24 18:58:13,America/Los_Angeles,37.32942,-121.8896
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/24 18:58:18,America/Los_Angeles,37.32948,-121.88965
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 9:43:21,America/Los_Angeles,37.334283,-121.872075
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 9:43:24,America/Los_Angeles,37.334255,-121.87207
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 21:58:25,America/Los_Angeles,37.3293,-121.8773
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:02:37,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:03:26,America/Los_Angeles,37.3293,-121.8773
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:10:53,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:26:55,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:50:03,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:51:28,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/25 22:52:27,America/Los_Angeles,37.329304,-121.877296
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 10:37:58,America/Los_Angeles,37.3201,-121.87703
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 10:41:56,America/Los_Angeles,37.3201,-121.87701
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 10:42:56,America/Los_Angeles,37.32011,-121.87702
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 10:45:33,America/Los_Angeles,37.32012,-121.87701
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 15:51:04,America/Los_Angeles,37.01442,-122.01274
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 16:37:19,America/Los_Angeles,37.04556,-122.02632
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:38:01,America/Los_Angeles,37.32012,-121.877007
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:39:56,America/Los_Angeles,37.32012,-121.877007
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:40:50,America/Los_Angeles,37.32012,-121.877007
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:41:46,America/Los_Angeles,37.32012,-121.877007
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:45:32,America/Los_Angeles,37.32012,-121.877007
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:46:25,America/Los_Angeles,37.32011,-121.87701
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 17:51:30,America/Los_Angeles,37.01448,-122.01274
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 22:05:47,America/Los_Angeles,37.32011,-121.87702
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 22:08:38,America/Los_Angeles,37.32011,-121.87702
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 22:09:27,America/Los_Angeles,37.32012,-121.87701
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/26 22:10:28,America/Los_Angeles,37.01445,-122.01273
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/27 2:04:38,America/Los_Angeles,37.320114,-121.87701
161b9e94-585e-3fdf-905c-2778dbdcf73a,2023/12/27 2:05:28,America/Los_Angeles,37.01446,-122.01272
